ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,BaseAnnotation,BaseAnnotator,BaseComment,Coverage,OneToThirty,BaseInSource
numerals-abar1238-4,"Mungbam (Biya), Cameroon",abar1238,Mungbam,mij,Africa,6.5805,10.2267,Atlantic-Congo,decimal,Enock Appiah Tieku,"senary - six is derived from three, 7-9 appear as compounds; There are five dialects in the Mungbam language: Munken, Abar, Biya, Missong and Ngun, the above numeral systems are from Munken, Biya and Ngun dialects. Both these three dialects has a decimal system. The first set is from Munken, and the second from Biya, and the third from Ngun. Notes: 1.- indicates that a noun class agreement prefix is attached 2. kə̄/kə́ and mɛ̀ means 'and/with' 3 -gbe̋ means 'rope' 4. ūwə́n ùnè means 'ornaments of a man'",0.09259259259259259,0.4827586206896552,
numerals-abar1238-5,"Mungbam (Ngun), Cameroon",abar1238,Mungbam,mij,Africa,6.5805,10.2267,Atlantic-Congo,decimal,Eugene Chan,"There are five dialects in the Mungbam language: Munken, Abar, Biya, Missong and Ngun, the above numeral systems are from Munken, Biya and Ngun dialects. Both these three dialects has a decimal system. The first set is from Munken, and the second from Biya, and the third from Ngun. Notes: 1.- indicates that a noun class agreement prefix is attached 2. kə̄/kə́ and mɛ̀ means 'and/with' 3 -gbe̋ means 'rope' 4. ūwə́n ùnè means 'ornaments of a man'",0.07407407407407407,0.3793103448275862,
barlowpacific-abau1245-4,Abau (from CSQ by SIL member),abau1245,Abau,aau,Papunesia,-3.97222,141.324,Sepik,binary,Russell Barlow,,0.1419753086419753,0.7241379310344828,
numerals-abau1245-1,"Abau, Papua New Guinea",abau1245,Abau,aau,Papunesia,-3.97222,141.324,Sepik,binary,Russell Barlow,"Abau numerals 1, 2 and 3 depend on the object being counted. When tallying various objects the Abau people use an unusual system which is essential a digit tally one but which also uses the navel, breast, and the eye as tally points for certain numbers. The first three words are in fact numerals which denote numerals only and are not the names of the body parts. There are distinct words for 1 and 2, and 3 has the construction '2+ 1''. Tallying starts on the little finger of the left hand and proceeds in order to the index finger at a tally of 4; this is 'yorpow lopa', i.e, 'thumb not' or the fingers of the hand excluding the thumb. 5 is 'yorbou non', i.e, 'thumb with or the finger of the hand including the thumb. The tally words for 6, 7, and 8 are: 6: 'iha sirom pruw non': 'hand one navel with', 7. 'iha sirom mu nareysar non': 'hand one breast two', 8. 'iha sirom mu nareysar pruw non': hand one breast two navel with'. In tallying 9 and 10 the right hand is used rather than non-digit body parts: 9: 'iha sirom iha ihaaw': 'hand one hand finger only', i.e, one hand and the fingers of one hand excluding the thumb. 10. 'iha seys': 'hand(s) two'. The tally words for 11, 12, 13 and 14 are: 11. ' iha seys pruw non': 'hand(s) two navel with', 12. 'iha seys mu nareysar': 'hand(s) two breast two', 13. 'iha seys mu nareysar pruw non': 'hand(s) two breast two navel with', 14. 'iha seys mu nareysar pruw nehe namon': 'hand(s) two breast two navel', for 15, however, we have: 'iha seys sune sirom': 'hand(s) two foot one'. Tallying 20 following the pattern we usually have for a digit-tally system: 'iha seys sune seys': 'hand(s) two feet two'. In tallying 40 this pattern is continued: 'iha seys sune seys ur prein-so iha seys sune seys', i.e. 'hand(s) two feet two man, one's hand(s) two feet two' or hand two breast two. The system thus possesses a 20-cycle ( or 'man' cycle) which may be seen explicitly in the tally word for 100: 'ur iha sirom': 'man hand one' or 'man five' or hands two foot two.",0.12345679012345678,0.6896551724137931,
barlowpacific-abau1245-1,Abau,abau1245,Abau,aau,Papunesia,-3.97222,141.324,Sepik,binary,Russell Barlow,,0.030864197530864196,0.1724137931034483,
barlowpacific-abau1245-2,Abau (Bisiabru village),abau1245,Abau,aau,Papunesia,-3.97222,141.324,Sepik,binary,Russell Barlow,,0.030864197530864196,0.1724137931034483,
barlowpacific-abau1245-3,Abau (from CSQ by NHS student),abau1245,Abau,aau,Papunesia,-3.97222,141.324,Sepik,binary,Russell Barlow,,0.030864197530864196,0.1724137931034483,
barlowpacific-abau1245-6,Abau (Ibaru village),abau1245,Abau,aau,Papunesia,-3.97222,141.324,Sepik,binary,Russell Barlow,,0.030864197530864196,0.1724137931034483,
barlowpacific-abau1245-7,Abau (Kobararu village),abau1245,Abau,aau,Papunesia,-3.97222,141.324,Sepik,binary,Russell Barlow,,0.030864197530864196,0.1724137931034483,
barlowpacific-abau1245-8,Abau (Mukvasi (Mukwas) village),abau1245,Abau,aau,Papunesia,-3.97222,141.324,Sepik,binary,Russell Barlow,,0.030864197530864196,0.1724137931034483,
barlowpacific-abau1245-9,Abau (Wauru No. 1 village),abau1245,Abau,aau,Papunesia,-3.97222,141.324,Sepik,binary,Russell Barlow,,0.030864197530864196,0.1724137931034483,
barlowpacific-abau1245-5,Abau (Hufi village),abau1245,Abau,aau,Papunesia,-3.97222,141.324,Sepik,binary,Russell Barlow,,0.024691358024691357,0.13793103448275862,
numerals-abaz1241-1,"Abaza, Russia",abaz1241,Abaza,abq,Eurasia,44.25,42.0,Abkhaz-Adyge,,Eugene Chan,,0.24691358024691357,1.0,
numerals-abee1242-1,"Abé (Abbey), Côte d'Ivoire",abee1242,Abé,aba,Africa,5.59682,-4.38497,Atlantic-Congo,decimal,Enock Appiah Tieku,Abe has a decimal system of counting. y = IPA [j].,0.24691358024691357,1.0,
numerals-aben1249-1,"Abenlen Ayta, Philippines",aben1249,Abenlen Ayta,abp,Papunesia,15.4131,120.2,Austronesian,decimal,Russell Barlow,Abenlen Ayta has a decimal system. The compound numbers 11 to 19 similar to those of Tagalog.,0.24691358024691357,1.0,
numerals-abid1235-1,"Abidji, Côte d'Ivoire",abid1235,Abidji,abi,Africa,5.65656,-4.58421,Atlantic-Congo,decimal,Enock Appiah Tieku,"Abidji has a decimal system. The formation of 80 and 90 is different from that of other tens because the latter use loan words. Expressions similar to 80 an 90 exist for 20 to 70 but are not much in use, while there are no loan words for 80 and 90.",0.24691358024691357,1.0,
barlowpacific-abin1243-1,Abinomn,abin1243,Abinomn,bsa,Papunesia,-2.92281,138.891,Abinomn,binary,Russell Barlow,,0.06172839506172839,0.3448275862068966,
numerals-abin1243-1,"Abinomn, Papua, Indonesia",abin1243,Abinomn,bsa,Papunesia,-2.92281,138.891,Abinomn,binary,Russell Barlow,"Abinomn or called Baso (derogatory name) before, may has only few words for numerals. Abinomn is a nearly extinct language.",0.037037037037037035,0.20689655172413793,
numerals-abkh1244-1,"Abkhaz, Georgia",abkh1244,Abkhaz,abk,Eurasia,43.056218,41.159115,Abkhaz-Adyge,,Eugene Chan,,0.24691358024691357,1.0,
numerals-abom1238-1,"Abom, Papua New Guinea",abom1238,Abom,aob,Papunesia,-8.42448,142.842,Anim,binary,Russell Barlow,"Abom has only two words as numbers. The data is in phonemic form. The Abom language is moribund, and there are only 3 speakers left. They are very old, and it has been a long time since they spoke the language. Lexical and grammatical elicitation were challenging, and I was only with them for a few days. If I work with them in the future and collect more data on numbers, I will let you know.",0.030864197530864196,0.1724137931034483,
numerals-abro1238-1,"Abron, Ghana, Côte d'Ivoire",abro1238,Abron,abr,Africa,7.72094,-2.50289,Atlantic-Congo,decimal,Enock Appiah Tieku,Abron has a decimal system of similar to that of Akan.,0.24691358024691357,1.0,
numerals-abua1244-1,"Abuan, Nigeria",abua1244,Abua,abn,Africa,4.83057,6.61492,Atlantic-Congo,decimal,Enock Appiah Tieku,"Abuan has an old counting system which was unable to handle large numbers- 400 being the highest. The number one always behaves like a descriptive adjective; the numerals 2-9 are indeclinable. Any of these might be added to the numbers 20, 30, 40 and 60, with e.g. 79 becoming 60 +10 + 9. 80 and numbers up to 400 and beyond all involved both multiplication and addition always using 20 or 400 as the basic e. g. 119 was 5 times 20 + 10+ 9; 519 was 400 + 5 times 20 plus ten plus 9. The system is now in the process of being changed to multiples of 10, 100, 1000 which of course suits the modern world much better. The notation will need to be reinterpreted first into the Abuan orthography, then into IPA. The symbol [ before b, d, a, e, i, o, u means that each of these letters has a subscript dot in the orthography; this subscript dot is an implosive marker in the case of the consonants and a concord marker in the case of the vowels. A dotted vowel in the orthography indicates that all preceding vowels in the word are also dotted (lax vowels). Absence of subscript dot under a vowel means that that vowel is a tense vowel. We have 10 vowels in Abuan and two kinds of b and d, implosive and explosive.",0.2345679012345679,1.0,
barlowpacific-abua1245-1,Abu' Arapesh,abua1245,Abu' Arapesh,aah,Papunesia,-3.461612,142.917031,Nuclear Torricelli,quinary,Russell Barlow,,0.07407407407407407,0.41379310344827586,
numerals-abui1241-1,"Abui, Nusa Tenggara, Indonesia",abui1241,Abui,abz,Papunesia,-8.31058,124.588,Timor-Alor-Pantar,quinary,Russell Barlow,Abui has a decimal system with a substructure for 7 to 9. Number ''thousand'' is a loanwords from Austronesian. Note traditional phonetic symbol y = IPA [j].,0.24691358024691357,1.0,
numerals-abui1241-2,"Abui, Nusa Tenggara, Indonesia",abui1241,Abui,abz,Papunesia,-8.31058,124.588,Timor-Alor-Pantar,quinary,Russell Barlow,Abui has a decimal system with a substructure for 7 to 9. Numbers ''thousand'' is a loanword from Austronesian. Note traditional phonetic symbol y = IPA [j].,0.24691358024691357,1.0,
barlowpacific-abui1241-1,Abui,abui1241,Abui,abz,Papunesia,-8.31058,124.588,Timor-Alor-Pantar,quinary,Russell Barlow,,0.19753086419753085,0.7241379310344828,
barlowpacific-abui1241-2,Abui (Alor),abui1241,Abui,abz,Papunesia,-8.31058,124.588,Timor-Alor-Pantar,quinary,Russell Barlow,,0.16666666666666666,0.5517241379310345,
numerals-abui1241-3,"Papuna, Nusa Tenggara, Indonesia",abui1241,Abui,abz,Papunesia,-8.31058,124.588,Timor-Alor-Pantar,quinary,Russell Barlow,"Papuna is a newly discovered language belongs to the same branch of Abui and Kafoa, with a decimal numeral system similar to that of Abui language. The data was collected by myself and my colleague Mr Benidiktus Delpada (a native speaker of Abui) over the last few field trips. We are preparing a revised paper on the Alor-Pantar subgrouping. I will post it on Academia.edu when it's done.",0.10493827160493827,0.41379310344827586,
numerals-abun1252-1,"Abun, West Bird's Head, Indonesia",abun1252,Abun,kgr,Papunesia,-0.57073,132.416,Abun,decimal,Russell Barlow,"Abun has a decimal system based on twenty. The numbers 2, 3, 4, 7, 8 and 9 might be borrowed from Austronesian language. The data was taken from Karon Pantai dialect and the another list with an asterisk mark was from Madik dialect. Numbers 'wotin', 'ribu' and 'calon' are loanwords from Austronesian languages.",0.24691358024691357,1.0,
barlowpacific-abun1252-1,Karón,abun1252,Abun,kgr,Papunesia,-0.57073,132.416,Abun,decimal,Russell Barlow,,0.08641975308641975,0.41379310344827586,
barlowpacific-abun1252-2,Mádik,abun1252,Abun,kgr,Papunesia,-0.57073,132.416,Abun,decimal,Russell Barlow,,0.08641975308641975,0.41379310344827586,
barlowpacific-abun1252-3,Karôn,abun1252,Abun,kgr,Papunesia,-0.57073,132.416,Abun,decimal,Russell Barlow,,0.06172839506172839,0.3448275862068966,
barlowpacific-abun1252-4,Madik,abun1252,Abun,kgr,Papunesia,-0.57073,132.416,Abun,decimal,Russell Barlow,,0.06172839506172839,0.3448275862068966,
numerals-abur1243-1,"Abouré (Abure), Côte d'Ivoire",abur1243,Abure,abu,Africa,5.21534,-3.64123,Atlantic-Congo,decimal,Enock Appiah Tieku,quadragesimal; Abouré (Abure) has a decimal system of counting similar to that of Anyin.,0.25308641975308643,1.0,
numerals-abur1244-1,"Abureni, Bayelsa state, Nigeria",abur1244,Abureni,mgj,Africa,4.62301,6.50634,Atlantic-Congo,vigesimal,Eugene Chan,Other comments: Abureni has a vigesimal numeral system similar to that of the Ogbia language.,0.25925925925925924,1.0,
barlowpacific-abuu1241-2,Adjora (Gwɨn),abuu1241,Abu,ado,Papunesia,-4.24027,144.474,Ramu,quinary,Russell Barlow,,0.06172839506172839,0.3448275862068966,
barlowpacific-abuu1241-1,Adjora,abuu1241,Abu,ado,Papunesia,-4.24027,144.474,Ramu,quinary,Russell Barlow,,0.030864197530864196,0.1724137931034483,
barlowpacific-abuu1241-3,Porapora #2 (Adjora),abuu1241,Abu,ado,Papunesia,-4.24027,144.474,Ramu,quinary,Russell Barlow,,0.030864197530864196,0.1724137931034483,
numerals-acha1249-1,"Lianghe Achang, China",acha1249,Longchuan Achang,acn,Eurasia,24.3479,97.7438,Sino-Tibetan,decimal,Eugene Chan,"The Linaghe dialect of Achang language has a decimal system with special construction for numerals 6, 7, 8 and 9.",0.24691358024691357,1.0,
numerals-acha1250-1,"Achagua, Colombia",acha1250,Achagua,aca,South America,4.38649,-72.2005,Arawakan,,Eugene Chan,There are only three traditional numbers in Achagua. They used Spanish numerals completely.,0.06172839506172839,0.3448275862068966,
numerals-ache1245-1,"Acheron, Sudan",ache1245,Acheron,acz,Africa,10.8827,30.3187,Narrow Talodi,quinary,Eugene Chan,"Acheron has a counting system based on five. The number 'five' is literally ‘one hand’: zəguŋ = ‘hand’, z-ulluk = ‘one’. na = ‘and’ , -o = Possessive (gurruŋ g-o bɽando ‘40’ = ‘10 of 4’). There are two options for number '100', they areː ɡurruŋ d̪ʊmmek or ɡurruŋ ɡurruŋ ( 10 x 10 ).",0.24691358024691357,1.0,
numerals-ache1246-1,"Aché (Guayakí), Paraguay",ache1246,Aché,guq,South America,-25.5865,-56.4697,Tupian,,Eugene Chan,"I just receive from my informant, the words that differ from the list you already had, were probably created in another village. It does not exactly correspond to any dialectical variation, as these numbers are created very recently, most likely in the last 20 years. Today people from various dialect groups live together in one village, therefore I would not link distinct words to a specific dialect. Note, that there was no basic number system in Aché, originally! All these words have been created for educational purposes. Originally in Aché there were words like etakrã (alone, single) and tãrã (a lot), edji (together, in groups), wywy (all). You can see that some of the words are created based on physical characteristics of either humans or animals. 0=illã (COP-NEG, there is not, nothing) o tapa (tapa = ""hold/ warming a newborn child (in the moment of its birth)"") 1=etakrã (single, one, alone), 2=mirõ (mixed up), 3=brewipychã (tapir foot), 4=chengypychã / gwyra pychã (bird foot), 5=ipo (human hand), 6=wachapa (the only meaning I can find for wacha-pa is ""to cross-COMPLETIVE"") 7=djypetã (means besides 7 also monkey tail or is a type of axe) 8=chãtapa (besides meaning number 8, it refers to the structure seen inside the human eye) 9=tõwachu (literally: big head, also refers to a type of eagle), 10=etakrã tapa, 11=etakrã etakrã, 12=etakrã mirõ, 13=etakrã brewipychã, 14=etakrã chengypychã, 15=etakrã ipo, 16=etakrã wachapa, 17=etakrã djypetã, 18=etakrã chãtapa, 19=etakrã tõwachu, 20=mirõtapa, 30=brewipychãtapa, 40=chengypychãtapa, 50=ipotapa, 60=wachapatapa, 70=djypetãtapa, 80=chãtapatapa, 90=tõwachutapa further system of forming larger numbers: 20=mirõtapa, 21=mirõtapa etakrã, 22=mirõtapa mirõ, 23=mirõtapa brewipychã, 24=mirõtapa chengypychã, 25=mirõtapa ipo, 26=mirõtapa wachapa, 27=mirõtapa djypetã, 28=mirõtapa chãtapa , 29=mirõtapa tõwachu, 30=brewipychãtapa, 90=tõwachutapa, 91=tõwachutapa etakrã, 92=tõwachutapa mirõ, 93=tõwachutapa brewipychã, 94=tõwachutapa chengypychã, 95=tõwachutapa ipo, 96=tõwachutapa wachapa, 97=tõwachutapa djypetã, 98=tõwachutapa chãtapa, 99=tõwachutapa tõwachu .",0.2345679012345679,1.0,
numerals-ache1246-2,"Aché (Guayakí), Paraguay",ache1246,Aché,guq,South America,-25.5865,-56.4697,Tupian,,Eugene Chan,The Aché (Guayakí) people seem have not concept of numerals.,0.06172839506172839,0.3448275862068966,
googleuninum-ace,Acehnese,achi1257,Acehnese,ace,Papunesia,3.90757,96.6032,Austronesian,decimal,Russell Barlow,,0.6790123456790124,1.0,
numerals-achi1257-1,"Aceh, Sumatra, Indonesia",achi1257,Acehnese,ace,Papunesia,3.90757,96.6032,Austronesian,decimal,Russell Barlow,Aceh has a decimal system with a special structure for number 9.,0.24691358024691357,1.0,
barlowpacific-achi1257-1,Aceh,achi1257,Acehnese,ace,Papunesia,3.90757,96.6032,Austronesian,decimal,Russell Barlow,,0.15432098765432098,0.6206896551724138,
barlowpacific-achi1257-2,"Bayau, Aceh",achi1257,Acehnese,ace,Papunesia,3.90757,96.6032,Austronesian,decimal,Russell Barlow,,0.15432098765432098,0.6206896551724138,
numerals-achu1247-1,"Achumawi (Pit River), USA",achu1247,Achumawi,acv,North America,41.0979,-121.191,Palaihnihan,quinary,Eugene Chan,"Achumawi is a nearly extinct language. This is a salvage situation. Informants were inconsistent about numbers above 5 and uncertain about numbers above 9. This does not mean that the language lacks these numbers, it probably only means that this generation (born in the late 1800s and subjected to the educational policies then prevalent) did not hear such numbers used so as to learn and remember them. Even so, this is clearly a quinary system. A few other compound number forms were recorded by C. Hart Merriam, but I was not able to verify them; they are constructed in ways analogous to the above. There are a few things to note in particular. Stop aspiration is contrastive only syllable-initially. The plain stops are voiceless-released syllable-finally, and voiced (to the extent that English ‘voiced’ stops are) word-initially and after short vowel. After vocalic length, plain stops are preaspirated (e.g. in a·tú·m͗i) and laryngealized stops are ‘preglottalized’, so that vowel quality is in those positions more salient than duration (short vowels being more centralized than their long counterparts).",0.09259259259259259,0.5172413793103449,
numerals-achu1248-2,"Achuar-Shiwiar, Ecuador, Peru",achu1248,Achuar-Shiwiar,acu,South America,-2.82646,-77.2641,Chicham,,Eugene Chan,"Achuar has a traditional counting system up to ten. However, they use Spanish numbers now. Achuar has two tonesː á = high tone and à = low tone.",0.07407407407407407,0.41379310344827586,
