Severity,ID,Language_ID,Language,Feature_ID,Feature,Current_value,Recommended_value,Values_comment,Declared_source,Raw_primary_evidence,Issue,Suggested_action
High,IE119-SA09,IE119,Bauria,SA09,Anchor_additive_20,0,1,,IE119-numerals-baur1251-1.csv,20: Gloss='20'; Alternate='2′⋅10′′'; glosser note='historically 2⋅10' | 21: Gloss='1+20'; Alternate='1+([2′]⋅10′′)' | 22: Gloss='2+20'; Alternate='2+([2′]⋅10′′)' | 23: Gloss='3+20'; Alternate='3+([2′]⋅10′′)' | 24: Gloss='4+20'; Alternate='4+(2′⋅10′′)' | 25: Gloss='5+20'; Alternate='5+([2′]⋅10′′)' | 26: Gloss='6+20'; Alternate='6+(2′⋅10′′)' | 27: Gloss='7+20'; Alternate='7+([2′]⋅10′′)' | 28: Gloss='8+20'; Alternate='8+([2′]⋅10′′)' | 29: Gloss='[1]−{−}30'; Alternate='[1]−{−}(3⋅10′′)' | 30: Gloss='30'; Alternate='3⋅10′′'; glosser note='historically 3⋅10',"The primary Glosses for 21–28 are 1+20, 2+20, etc., which is direct additive use of 20.",Change 0 to 1.
High,IE154-SA08,IE154,Baltic Romani,SA08,Atomic_higher,0,1,,IE154-numerals-balt1257-1.csv,21: Gloss='20+′{+}1' | 22: Gloss='20+′{+}2' | 23: Gloss='20+′{+}3' | 24: Gloss='20+′{+}4' | 25: Gloss='20+′{+}5' | 26: Gloss='20+′{+}6' | 27: Gloss='20+′{+}7'; glosser note='<efta> ‘seven’ borrowed from Greek (Hellenic branch of Indo-European)' | 28: Gloss='20+′{+}8'; glosser note='<oxto> ‘eight’ borrowed from Greek (Hellenic branch of Indo-European)' | 29: Gloss='20+′{+}9'; glosser note='<yenˈa> ‘nine’ borrowed from Greek (Hellenic branch of Indo-European)' | 30: Gloss='30'; Alternate='3⋅10′'; glosser note='borrowed from Greek (Hellenic branch of Indo-European)' | 30: Gloss='3⋅{⋅}10′' | 40: Gloss='4⋅{⋅}10',"The raw data contain a primary atomic 30 in addition to a compositional 30. Because the feature asks whether any higher numeral is atomic, this supports 1.",Change 0 to 1.
High,IE154-SA22,IE154,Baltic Romani,SA22,Anchor_final_multiplicative_thousands,1,,2⋅1000,IE154-numerals-balt1257-1.csv,1000: Gloss='1000'; glosser note='literally ‘big’ (?)' | 1000: Gloss='1000′'; glosser note='apparently borrowed from Balto-Slavic branch of Indo-European',"The comment says 2×1000, but the raw source has atomic 1000 only; there is no primary 2000.",Change 1; choose 0 or NA according to the coverage rule.
High,IE176-SA09,IE176,Kashmiri,SA09,Anchor_additive_20,0,1,,IE176-numerals-kash1277-1.csv,20: Gloss='20'; glosser note='historically 2⋅10' | 21: Gloss='1+20' | 22: Gloss='2+20' | 23: Gloss='3+20' | 24: Gloss='4+20' | 25: Gloss='5+20' | 26: Gloss='6+20' | 27: Gloss='7+20' | 28: Gloss='8+20' | 29: Gloss='[1]−{−}(3⋅10′)' | 30: Gloss='3⋅10′',"The primary Glosses for 21–28 are 1+20, 2+20, etc.",Change 0 to 1.
High,IE185-SA08,IE185,Ushojo,SA08,Atomic_higher,0,1,,IE185-numerals-usho1238-1.csv,21: Gloss='1+20' | 22: Gloss='2+20' | 23: Gloss='3+20' | 24: Gloss='4+20' | 25: Gloss='5+20' | 26: Gloss='6+20' | 27: Gloss='7+20' | 28: Gloss='8+20' | 29: Gloss='9+20' | 30: Gloss='10+{+}20' | 30: Gloss='10+{+}20'; glosser note='historically 2⋅10; form provided by SIL linguist Ms. Sandra Decker in 1992' | 40: Gloss='2[⋅]20'; glosser note='form provided by SIL linguist Ms. Sandra Decker in 1992',"The raw data contain a primary atomic 50, alongside a compositional 50. This is direct positive evidence.",Change 0 to 1.
High,IE189-SA07,IE189,Palula,SA07,Atomic_teens,1,0,"19; however, there is alternative gloss as 9+10",IE189-numerals-phal1254-1.csv,11: Gloss='1+10′' | 12: Gloss='2′+10′' | 13: Gloss='3+10′' | 14: Gloss='4+10′' | 15: Gloss='5+10′' | 16: Gloss='6+10′' | 17: Gloss='7+10′' | 18: Gloss='8+10′' | 19: Gloss='1−{−}20',"The comment says 19 is atomic, but the raw primary Gloss for 19 is subtractive ('1−20'); 11–18 are additive. No primary atomic teen is present.",Change 1 to 0 and correct the comment.
High,IE194-SA09,IE194,Southwest Pashayi,SA09,Anchor_additive_20,NA,1,No data between 20 and 30.,IE194-numerals-sout2671-1.csv,20: Gloss='20'; glosser note='historically 2⋅10' | 30: Gloss='20+{+}10' | 40: Gloss='2⋅20′' | 50: Gloss='(2⋅20′)[+]10' | 60: Gloss='3⋅20′' | 70: Gloss='(3⋅20′)[+]10' | 80: Gloss='4⋅20′' | 90: Gloss='9⋅10′′',"Although 21–29 are missing, the primary Gloss for 30 is 20+10, which directly satisfies the unrestricted SA09 question.",Change NA to 1 unless SA09 is intentionally restricted to 21–29.
High,IE201-SA08,IE201,Gurani,SA08,Atomic_higher,0,1,,IE201-numerals-gura1251-1.csv,21: Gloss='20+{+}1' | 22: Gloss='20+{+}2' | 23: Gloss='20+{+}3' | 24: Gloss='20+{+}4' | 25: Gloss='20+{+}5' | 26: Gloss='20+{+}6' | 27: Gloss='20+{+}7' | 28: Gloss='20+{+}8' | 29: Gloss='20+{+}9' | 30: Gloss='30'; glosser note='historically 3⋅10' | 40: Gloss='40'; Alternate='4⋅10′′'; glosser note='historically 4⋅10' | 50: Gloss='5⋅10′',"The raw primary Glosses include atomic 30, 40, 60, and 90.",Change 0 to 1.
High,IE201-SA10,IE201,Gurani,SA10,Anchor_multiplicative_20,1,0,"2⋅20, 3⋅20, 4⋅20, 5⋅20",IE201-numerals-gura1251-1.csv,20: Gloss='20'; glosser note='historically 2⋅10' | 30: Gloss='30'; glosser note='historically 3⋅10' | 40: Gloss='40'; Alternate='4⋅10′′'; glosser note='historically 4⋅10' | 50: Gloss='5⋅10′' | 60: Gloss='60'; Alternate='6⋅10′′′'; glosser note='historically 6⋅10' | 70: Gloss='7⋅10′' | 80: Gloss='8⋅10′' | 90: Gloss='90'; Alternate='9⋅10′′′′'; glosser note='historically 9⋅10' | 100: Gloss='100',"The comment claims 2×20, 3×20, 4×20, 5×20, but these structures are not in the primary raw Glosses.",Change 1 to 0 and replace the comment.
High,IE201-SA13,IE201,Gurani,SA13,Anchor_initial_additive_teens,1,0,"10+1, 10+2, 10+3, 10+4, 10+5, 10+6, 10+7, 10+8, 10+9",IE201-numerals-gura1251-1.csv,11: Gloss='1+10' | 12: Gloss='2+10' | 13: Gloss='3′+10' | 14: Gloss='4+10' | 15: Gloss='5+10' | 16: Gloss='6+10' | 17: Gloss='7+10' | 18: Gloss='8+10' | 19: Gloss='9+10',"The comment reverses the raw order. Raw 11–19 are 1+10, 2+10, ..., i.e. anchor-final, not anchor-initial.",Change 1 to 0.
High,IE201-SA14,IE201,Gurani,SA14,Anchor_final_additive_teens,0,1,,IE201-numerals-gura1251-1.csv,11: Gloss='1+10' | 12: Gloss='2+10' | 13: Gloss='3′+10' | 14: Gloss='4+10' | 15: Gloss='5+10' | 16: Gloss='6+10' | 17: Gloss='7+10' | 18: Gloss='8+10' | 19: Gloss='9+10',"Raw 11–19 are 1+10, 2+10, ..., so anchor-final addition is directly attested.",Change 0 to 1.
High,IE201-SA20,IE201,Gurani,SA20,Anchor_final_multiplicative_hundreds,1,,5⋅20; 2⋅100,IE201-numerals-gura1251-1.csv,100: Gloss='100',"The comment says '5×20; 2×100', but the raw source has only atomic 100 in the hundreds and no 200 row.",Change 1; choose 0 or NA according to the coverage rule.
High,IE201-SA22,IE201,Gurani,SA22,Anchor_final_multiplicative_thousands,1,,2⋅1000,IE201-numerals-gura1251-1.csv,1000: Gloss='1000',"The comment says 2×1000, but the raw source contains only atomic 1000.",Change 1; choose 0 or NA according to the coverage rule.
High,IE205-SA13,IE205,Takestani,SA13,Anchor_initial_additive_teens,1,0,"10+1, 10+2, 10+3, 10+4, 10+5, 10+6, 10+7, 10+8, 10+9",IE205-googleuninum-tks.csv,11: Gloss='1+10' | 12: Gloss='2+10' | 13: Gloss='3+10' | 14: Gloss='4+10' | 15: Gloss='5+10' | 16: Gloss='6+10' | 17: Gloss='7+10' | 18: Gloss='8+10' | 19: Gloss='9+10',"The comment says 10+1, 10+2, ..., but the raw Glosses are 1+10, 2+10, ... .",Change 1 to 0.
High,IE205-SA14,IE205,Takestani,SA14,Anchor_final_additive_teens,0,1,,IE205-googleuninum-tks.csv,11: Gloss='1+10' | 12: Gloss='2+10' | 13: Gloss='3+10' | 14: Gloss='4+10' | 15: Gloss='5+10' | 16: Gloss='6+10' | 17: Gloss='7+10' | 18: Gloss='8+10' | 19: Gloss='9+10',"The raw Glosses are 1+10, 2+10, ..., which directly support anchor-final teens.",Change 0 to 1.
High,IE213-SA20,IE213,Mazanderani,SA20,Anchor_final_multiplicative_hundreds,NA,1,"There is only data for 100 and 200, both of which are atomic; however, an alternative gloss for 200 is anchor-final: 2⋅100.",IE213-numerals-maza1291-1.csv,100: Gloss='100' | 200: Gloss='2[⋅]100' | 200: Gloss='2⋅100′'; Alternate='200',"The value is NA and the comment says 100 and 200 are atomic / 2×100 is alternative, but the raw primary Gloss explicitly has 200 = 2×100.",Change NA to 1 and correct the comment.
High,IE220-SA14,IE220,Semnani-Biyabuneki,SA14,Anchor_final_additive_teens,NA,1,"No data between 11 and 100, aside from 20.",IE220-numerals-semn1249-1.csv,11: Gloss='1+10' | 20: Gloss='20'; glosser note='historically 2⋅10',"The source has 11 = 1+10. Even though later teen data are missing, the 'ever' condition is already satisfied.",Change NA to 1.
High,IE228-SA09,IE228,Waneci,SA09,Anchor_additive_20,0,1,,IE228-googleuninum-wne.csv,20: Gloss='20'; glosser note='historically 2⋅10' | 21: Gloss='20+1' | 30: Gloss='30'; Alternate='3′⋅10′'; glosser note='apparently borrowed from Indo-Aryan branch of Indo-Iranian (Indo-European); historically 3⋅10' | 40: Gloss='40'; Alternate='4⋅10′'; glosser note='apparently borrowed from Indo-Aryan branch of Indo-Iranian (Indo-European); historically 4⋅10' | 50: Gloss='50'; Alternate='5⋅10′′'; glosser note='apparently borrowed from Indo-Aryan branch of Indo-Iranian (Indo-European); historically 5⋅10' | 60: Gloss='60'; Alternate='6′⋅10′′′'; glosser note='apparently borrowed from Indo-Aryan branch of Indo-Iranian (Indo-European); historically 6⋅10' | 70: Gloss='70'; Alternate='7′⋅10′′′′'; glosser note='apparently borrowed from Indo-Aryan branch of Indo-Iranian (Indo-European); historically 7⋅10' | 90: Gloss='90'; Alternate='9⋅10′′′′′'; glosser note='apparently borrowed from Indo-Aryan branch of Indo-Iranian (Indo-European); historically 9⋅10',The primary Gloss for 21 is 20+1.,Change 0 to 1.
High,IE268-SA20,IE268,Haitian,SA20,Anchor_final_multiplicative_hundreds,1,,2⋅100,IE268-googleuninum-hat.csv,100: Gloss='100',"The comment says 2×100, but the source has only atomic 100 and no 200 row.",Change 1; choose 0 or NA according to the coverage rule.
High,IE268-SA22,IE268,Haitian,SA22,Anchor_final_multiplicative_thousands,1,,2⋅1000,IE268-googleuninum-hat.csv,1000: Gloss='1000',"The comment says 2×1000, but the raw source contains only atomic 1000.",Change 1; choose 0 or NA according to the coverage rule.
High,IE269-SA20,IE269,French,SA20,Anchor_final_multiplicative_hundreds,NA,1,"There is only data for 100, which is atomic",IE269-numerals-stan1290-1-edited.csv,100: Gloss='100' | 200: Gloss='2[⋅]100',"The comment says there is only atomic 100, but the primary source also has 200 = 2×100.",Change NA to 1 and correct the comment.
High,IE269-SA22,IE269,French,SA22,Anchor_final_multiplicative_thousands,NA,1,"There is only data for 1000, which is atomic",IE269-numerals-stan1290-1-edited.csv,1000: Gloss='1000' | 2000: Gloss='2[⋅]1000',"The value is NA and the comment says only atomic 1000 is available, but the raw primary source also has 2000 = 2×1000.",Change NA to 1 and correct the comment.
High,ST019-SA15,ST019,Sikkimese,SA15,Anchor_initial_additive_twenties,1,NA,"(2⋅10)+1, (2⋅10)+2, (2⋅10)+3, (2⋅10)+4, (2⋅10)+5, (2⋅10)+6, (2⋅10)+7, (2⋅10)+8, (2⋅10)+9",ST019-numerals-sikk1242-1.csv,20: Gloss='2⋅10',"The value is 1 and the comment lists (2×10)+1 through +9, but the source has no 21–29 rows.",Change 1; with the present source this looks like NA.
Review,ST022-SA09,ST022,Leh Ladakhi,SA09,Anchor_additive_20,0,1,,ST022-numerals-lada1244-1.csv,20: Gloss='2[⋅]10' | 21: Gloss='(2[⋅]10)+{+}1' | 21: Gloss='[20]+{+}1' | 22: Gloss='(2[⋅]10)+{+}2' | 22: Gloss='[20]+{+}2' | 23: Gloss='(2[⋅]10)+{+}3' | 23: Gloss='[20]+{+}3' | 24: Gloss='(2[⋅]10)+{+}4' | 24: Gloss='[20]+{+}4' | 25: Gloss='(2[⋅]10)+{+}5' | 25: Gloss='[20]+{+}5' | 26: Gloss='(2[⋅]10)+{+}6',"The raw file includes primary duplicate analyses [20]+1, [20]+2, etc., alongside (2×10)+1 forms. If bracketed 20 in Gloss counts as the analyzed anchor, SA09 should be 1.",Review the bracket convention; likely change 0 to 1.
Review,ST023-SA09,ST023,Zangskari,SA09,Anchor_additive_20,0,1,,ST023-numerals-zang1248-1.csv,20: Gloss='2[⋅]10' | 21: Gloss='(2[⋅]10)+{+}1' | 21: Gloss='[20]{+}+1' | 22: Gloss='(2[⋅]10)+{+}2' | 22: Gloss='[20]{+}+2' | 23: Gloss='(2[⋅]10)+{+}3' | 23: Gloss='[20]{+}+3' | 24: Gloss='(2[⋅]10)+{+}4' | 24: Gloss='[20]{+}+4' | 25: Gloss='(2[⋅]10)+{+}5' | 25: Gloss='[20]{+}+5' | 26: Gloss='(2[⋅]10)+{+}6',The raw file includes primary 20-based additive analyses in the twenties in addition to 2×10-based analyses.,Review the bracket convention; likely change 0 to 1.
High,ST039-SA18,ST039,Tshangla,SA18,Anchor_final_multiplicative_decades,1,0,"3⋅10, 4⋅10, 5⋅10, 6⋅10, 7⋅10, 8⋅10, 9⋅10",ST039-numerals-tsha1245-1.csv,"20: Gloss='20[⋅]1' | 30: Gloss='20[⋅](½−{?}2)'; glosser note='overcounting (?): ‘halfway to two scores’ (?); note that <daŋ> occurs here where there is, whereas, in 21 through 29, <daŋ> represents addition in occurs where there is addition; it is perhaps best considered a ligature connecting elements in complex numerals.' | 40: Gloss='20[⋅]2' | 50: Gloss='20[⋅](½−{?}3)'; glosser note='overcounting (?): ‘halfway to three scores’ (?); note that <daŋ> occurs here where there is, whereas, in 21 through 29, <daŋ> represents addition in occurs where there is addition; it is perhaps best considered a ligature connecting elements in complex numerals.' | 60: Gloss='20[⋅]3' | 70: Gloss='20[⋅](½−{?}4)'; glosser note='overcounting (?): ‘halfway to four scores’ (?); note that <daŋ> occurs here where there is, whereas, in 21 through 29, <daŋ> represents addition in occurs where there is addition; it is perhaps best considered a ligature connecting elements in complex numerals.' | 80: Gloss='20[⋅]4' | 90: Gloss='20[⋅](½−{?}5)'; glosser note='overcounting (?): ‘halfway to five scores’ (?); note that <daŋ> occurs here where there is, whereas, in 21 through 29, <daŋ> represents addition in occurs where there is addition; it is perhaps best considered a ligature connecting elements in complex numerals.'","The comment claims 3×10 through 9×10, but the raw primary system is based on 20 (e.g. 20×2, 20×3, 20×4) plus fractional overcounting. No primary anchor-final decimal series matching the comment is present.",Change 1 to 0 and correct the comment.
High,ST040-SA08,ST040,Bunan,SA08,Atomic_higher,0,1,,ST040-numerals-gahr1239-1.csv,21: Gloss='20[+]1' | 22: Gloss='20[+]2' | 23: Gloss='20[+]3' | 24: Gloss='20[+]4' | 25: Gloss='20[+]5' | 26: Gloss='20[+]6' | 27: Gloss='20[+]7' | 28: Gloss='20[+]8' | 29: Gloss='20[+]9' | 30: Gloss='20[+]10' | 30: Gloss='3⋅10' | 40: Gloss='4′⋅10',The raw data contain an atomic primary gloss for 40 as one of the attested variants.,Change 0 to 1.
High,ST056-SA19,ST056,Bodo-Mech,SA19,Anchor_initial_multiplicative_hundreds,0,1,,ST056-numerals-bodo1269-1-edited.csv,100: Gloss='100[⋅]1' | 100: Gloss='1[⋅]100' | 200: Gloss='2[⋅]100',"The source contains primary 100×1, so an anchor-initial multiplicative hundred is directly attested.",Change 0 to 1.
High,ST132-SA22,ST132,Phola,SA22,Anchor_final_multiplicative_thousands,1,,2⋅1000,ST132-numerals-phol1237-1.csv,1000: Gloss='1000'; Alternate='1000[⋅]1′′'; glosser note='<sɨ55> ‘thousand’ possibly borrowed from Sinitic branch of Sino-Tibetan',"The comment says 2×1000, but the primary source has atomic 1000 only; 1000×1 occurs only as an Alternate_gloss and there is no 2000 row.",Change 1; choose 0 or NA according to the coverage rule.
High,ST161-SA14,ST161,Lepcha,SA14,Anchor_final_additive_teens,0,1,,ST161-numerals-lepc1244-2.csv,11: Gloss='(1[⋅10])+1{10}' | 11: Gloss='1[+]10' | 12: Gloss='(1[⋅10])+2{10}' | 12: Gloss='2[+]10' | 13: Gloss='(1[⋅10])+3{10}' | 13: Gloss='3[+]10' | 14: Gloss='(1[⋅10])+4{10}' | 14: Gloss='4[+]10' | 15: Gloss='(1[⋅10])+5{10}' | 15: Gloss='5[+]10' | 16: Gloss='(1[⋅10])+6{10}' | 16: Gloss='6[+]10',"The raw file contains primary 1+10, 2+10, ..., variants in addition to the anchor-initial variants. Since the feature asks whether anchor-final order ever occurs, this is positive evidence.",Change 0 to 1.
High,ST220-SA08,ST220,Duhumbi,SA08,Atomic_higher,0,1,,ST220-numerals-chug1252-1-edited.csv,"21: Gloss='(20[⋅]1)+{and}1'; glosser note='<daŋ> ‘and’ possibly borrowed from Tibetan, a fellow Sino-Tibetan language' | 22: Gloss='(20[⋅]1)+{and}2'; glosser note='<daŋ> ‘and’ possibly borrowed from Tibetan, a fellow Sino-Tibetan language' | 23: Gloss='(20[⋅]1)+{and}3'; glosser note='<daŋ> ‘and’ possibly borrowed from Tibetan, a fellow Sino-Tibetan language' | 24: Gloss='(20[⋅]1)+{and}4'; glosser note='<daŋ> ‘and’ possibly borrowed from Tibetan, a fellow Sino-Tibetan language' | 25: Gloss='(20[⋅]1)+{and}5'; glosser note='<daŋ> ‘and’ possibly borrowed from Tibetan, a fellow Sino-Tibetan language' | 26: Gloss='(20[⋅]1)+{and}6'; glosser note='<daŋ> ‘and’ possibly borrowed from Tibetan, a fellow Sino-Tibetan language' | 27: Gloss='(20[⋅]1)+{and}7'; glosser note='<daŋ> ‘and’ possibly borrowed from Tibetan, a fellow Sino-Tibetan language' | 28: Gloss='(20[⋅]1)+{and}8'; glosser note='<daŋ> ‘and’ possibly borrowed from Tibetan, a fellow Sino-Tibetan language' | 29: Gloss='(20[⋅]1)+{and}9'; glosser note='<daŋ> ‘and’ possibly borrowed from Tibetan, a fellow Sino-Tibetan language' | 30: Gloss='(20[⋅]1)+{and}10'; glosser note='<daŋ> ‘and’ possibly borrowed from Tibetan, a fellow Sino-Tibetan language' | 40: Gloss='20[⋅]2' | 50: Gloss='(20[⋅]2)+{and}10'; glosser note='<daŋ> ‘and’ possibly borrowed from Tibetan, a fellow Sino-Tibetan language'","The raw data contain a primary atomic 50, so the feature has direct positive evidence.",Change 0 to 1.
High,ST229-SA18,ST229,Mao Naga,SA18,Anchor_final_multiplicative_decades,0,1,"However, there is an alternative gloss of 30 as 3⋅10.",ST229-numerals-maon1238-1.csv,20: Gloss='2′⋅10'; Alternate='20' | 30: Gloss='30'; Alternate='3⋅10' | 40: Gloss='10′⋅4' | 50: Gloss='10′⋅5' | 60: Gloss='10′⋅6' | 70: Gloss='10′⋅7' | 80: Gloss='10′⋅8' | 90: Gloss='10′⋅9',"The primary source has 20 = 2×10, which is already an anchor-final multiplicative decade. The comment focuses only on an alternative 30 analysis.",Change 0 to 1.
