"","ID","Name","Glottocode","Glottolog_Name","ISO639P3code","Macroarea","Latitude","Longitude","Family","BaseAnnotation","BaseAnnotator","BaseComment","Coverage","OneToThirty","BaseInSource"
"11","numerals-alag1248-1","Alagwa (Wasi), Tanzania","alag1248","Alagwa","wbj","Africa",-4.64148,35.7231,"Afro-Asiatic","decimal","Eugene Chan","Alagwa has a decimal system of counting similar to Burunge.",0.240740740740741,1,NA
"12","barlowpacific-alba1269-1","Buhi Bicol","alba1269","Inland-Buhi-Daraga Bikol","bhk","Papunesia",13.1989,123.49,"Austronesian","decimal","Russell Barlow","",0.0802469135802469,0.379310344827586,NA
"13","numerals-amah1246-2","Amahuaca, Peru, Brazil","amah1246","Amahuaca","amc","South America",-10.2012,-72.3208,"Pano-Tacanan","","Eugene Chan","Like most Panoan languages, Amahuaca does not have many numbers words. It is possible to count up to twenty using hands or feet? updated data needed.",0.0740740740740741,0.413793103448276,NA
"14","numerals-amas1236-1","Ama (Nyimang), Sudan","amas1236","Ama (Sudan)","nyi","Africa",12.0993,29.4332,"Nyimang","vigesimal","Eugene Chan","Ama (Nyimang) has a vigesimal system. Ama numbers 6, 7, 8, 9 look like cognates with Dilling 6, 7, 8, 9. This stands to reason as Dilling is the local hub town for the Ama. The Dilling language is now dying (Mugaddam 2007) and Arabic is used in the town instead, so the incorporation of Dilling numbers into Ama (if it was that way round) must date back to a time before the shift to Arabic. Ama has three tone marksː high (á) mid (ā) low (à) Dr. Angelika Jakobi’s commentary on Ama numeralsː Russel Norton suggests that the Ama numerals 6, 7, 8, 9 are borrowed from the Dilling language (genetically belonging to Kordofan Nubian). As the Ama area is not only geographically close to Dilling but also to other Kordofan Nubian languages like Karko, Wali and Ghulfan Morung I doubt that it is possible to identify the Kordofan Nubian language from which Ama borrowed those numerals. Apart from 6, 7, 8, 9, there is evidence that tárfó 20 is also a borrowing from a Kordofan Nubian language. The direction of borrowing from Kordofan Nubian to Nyimang (rather than vice versa) is suggested by the fact that cognates of the numerals 6, 7, 8, 9 (but not 20) are attested in other Nubian languages, too, which are spoken in the Nile valley and Darfur (i.e. outside of the Kordofan Nubian and Ama area). Lit. Rottland, Franz and Angelika Jakobi. 1991. Loan Word Evidence From the Nuba Mountains: Kordofan Nubian and the Nyimang Group. In: D. Mendel and U. Claudi (eds), Ägypten im Afro-Orientalischen Kontext. Gedenkschrift Peter Behrens (Afrikanistische Arbeitspapiere. Sondernummer 1991), pp. 249-269. Universität zu Köln. Institut für Afrikanistik.",0.246913580246914,1,NA
"15","numerals-anfi1235-1","Anfillo (Southern Mao), Ethiopia","anfi1235","Anfillo","myo","Africa",8.568,34.647,"Ta-Ne-Omotic","","Eugene Chan","The Anfillo numeral system and Kafa numeral system are very similar. In addition to the number for 5 and 8, words for numbers 7, 8, 10 also seem borrowed from Semitic. Moreover as it is noted above not only the numeral, almost all words (basic vocabularies) of Anfillo seem copied from Kafa. The Anfillos are claimed to originate from Kafa region. Please note that almost all words of Anfillo end with vowel [o] and this vowel bear high tone in the word final position when the words are simple. That is word for numbers from 1-10 and other words which are multiple of 10 and hundred such as 20, 30 …,100, 200… end with high tone But this tone is removed when these word are combined with other words. In this regard word for numbers 11, 12…21… and the like end with low tone. Anfillo is claimed to have two tones such as high and low tone. Normally words with long vowel bear high tone while words with short vowel bear low tone.",0.246913580246914,1,NA
"16","barlowpacific-anga1314-1","Mendi/Dialects [data correspond to three Glottocodes: anga1292, anga1293, anga1294]","anga1314","Angal Mendi","","",-6.126376667,143.551,"Nuclear Trans New Guinea","","","",0.148148148148148,0.827586206896552,NA
"17","numerals-anir1237-1","Feni (Anir), Papua New Guinea","anir1237","Warwar Feni","hrw","Papunesia",-4.07,153.63,"Austronesian","decimal","Eugene Chan","Feni or Warwar-Feni has a decimal system similar to that of Fanamaket. Note that the numbers 2 to 19 are all prefixed with [ka] in the recordings, but this was not shown in the data provided by the native speakers. Presumably it is some sort of enclitic determiner.",0.246913580246914,1,NA
"18","numerals-anyi1245-1","Anyin, Côte d'Ivoire, Ghana","anyi1245","Anyin","any","Africa",6.31781,-3.30532,"Atlantic-Congo","decimal","Enock Appiah Tieku","Anyni has a decimal system similar to that of Baule. Anyin has three tonesː High = á, High Falling = â and Low (unmarked).",0.246913580246914,1,NA
"19","numerals-apuc1241-1","Great Andamanese, India","apuc1241","Apucikwar","apq","Eurasia",12.241,92.7965,"Great Andamanese","","Eugene Chan","Great Andamanese only has three numbers. They do not use any mixed system now. As there are only eight speakers left and the younger generation switching to Hindi and other languages, they simply change the language and adopt it wholly. Please note that the following differences between traditional phonetic symbols used by Indian scholars and IPA transcriptionsː 1. j = IPA [ɟ], voiceless palatal plosive. 2. y = IPA [j], palatal Approximant.",0.0185185185185185,0.103448275862069,NA
"20","numerals-arbo1245-1","Arbore, Ethiopia","arbo1245","Arbore","arv","Africa",4.92183,36.7986,"Afro-Asiatic","decimal","Eugene Chan","Arbore has a decimal system. The number 'one' has a masculine form and a feminine form. Numbers after an asterisk are from SIL source.",0.228395061728395,1,NA
"21","numerals-assa1269-1","Sungor (Assangori), Chad","assa1269","Assangori","sjg","Africa",13.9592,22.6393,"Tamaic","decimal","Eugene Chan","Songor has a decimal system of counting similar to that of Tama. However, nowadays, Arabic numbers are used for counting from eleven upwards.",0.12962962962963,0.689655172413793,NA
"22","numerals-awee1242-1","Boni, Kenya","awee1242","Aweer","bob","Africa",-1.40124,41.234,"Afro-Asiatic","","Eugene Chan","Boni number 'one' has a masculine form and a feminine form. The 'kóów' is only used in counting. The above data were taken from Kilii dialect.",0.234567901234568,1,NA
"23","numerals-awji1241-1","Awjilah, Libya","awji1241","Awjilah","auj","Africa",29.2341,21.1819,"Afro-Asiatic","","Eugene Chan","Awjilah only retained one traditional Berber numeral: iwìn, iwinàn , iwínan (masc.); iwát, iwatàn (fem.), after one, Arabic numerals have been used. Data has been taken from Marijn van Putten (forthcoming.) A Grammar of Awjila Berber (Libya). Based on Umberto Paradisi’s Work. Rüdiger Köppe Verlag: Köln The material is a reinterpretation of Umberto Paradisi’s transcriptions: Paradisi, Umberto. 1960a. “Il berbero di Augila, Materiale lessicale.” Rivista degli Studi Orientali XXXV: 157-177. Paradisi, Umberto. 1960b. “Testi berberi di Augila (Cirenaica).” Annali Istituto Univers. Orient. Napoli X: 79-91. An IPA representation is impossible, as we have not heard Awjila spoken since the 1960’s. Acute accent stands for a phonemic accent. Grave accent stands for a default accent position. All numeral but ‘one’ are of Arabic origin. The words ‘nine’, ‘ninety’ and ‘one hundred’ have been abstracted from the construction: tə̀səʕa mə̀yət id-tə̀səʕa u-təsʕìn (9 hundred with-9 and-ninety). Individually these words are not attested. Zanon (1932: 264) speaks of a cryptic counting system that avoids the use of Arabic numeral in order to discuss numbers without outsiders understanding them. He does not cite the terminology in berber, but only gives an Italian translation. 1. finger 2. two fingers 5. complete hand 7. a hand and two fingers, or two hands minus three fingers 10. two hands 15. two hands and a foot 20. two hands and two feet Cryptic numeral systems are typical for Berber languages and are also found in Nefusa Berber, Siwa Berber and El-Foqaha Berber (in El-Foqaha, cryptic numerals are the only attested numerals). Zanon, Fernando. 1932-1933. “Contributo Alla Conoscenza Linguistico-etnografica dell’Oasi Di Augila.” L’Africa Italiana 50/40-51/1-4: 259–276.",0.0555555555555556,0.206896551724138,NA
"24","numerals-awng1244-1","Awngi, Ethiopia","awng1244","Awngi","awn","Africa",10.9819,36.6916,"Afro-Asiatic","decimal","Eugene Chan","Awngi has a decimal system. The second variant of 'one' is only used for counting. The other is used as the numeral adjective.",0.246913580246914,1,NA
"25","numerals-baca1246-1","Bacama (Bwatye), Nigeria","baca1246","Bacama","bcy","Africa",9.53072,12.0416,"Afro-Asiatic","decimal","Eugene Chan","Bwatye (Bachama or Bata) has a decimal system with special sub-structure for numbers 6 to 9. In fact, both Bachama and Bata are dialects of the Bwatye language, there is no difference in numeral system. The new data is nearly identical with that of the old data provided by Prof. Russell G. Schuh 30 years ago with the exception that they used the loanword for hundred now.",0.246913580246914,1,NA
"26","numerals-bade1248-1","Bade, Nigeria","bade1248","Bade","bde","Africa",12.789,10.6557,"Afro-Asiatic","decimal","Eugene Chan","Bade has a decimal system of counting. There are some missing terms. The data need checking with updated ones.",0.191358024691358,0.793103448275862,NA
"27","numerals-bais1246-1","Bayso (Baiso), Ethiopia","bais1246","Baiso","bsw","Africa",6.44892,37.7681,"Afro-Asiatic","decimal","Eugene Chan","Bayso haa a decimal system. The number 'one' has a masculine form and a feminine form.",0.246913580246914,1,NA
"28","numerals-bali1245-1","Bali (Maya), Nigeria","bali1245","Bali (Nigeria)","bcn","Africa",8.81345,11.2952,"Atlantic-Congo","quinary","Enock Appiah Tieku","Bali (Maya) has a quinary-vigesimal numeral system with a word for 15.",0.240740740740741,1,NA
"29","numerals-bamw1238-1","Bamwe (Libóbi), DR of the Congo","bamw1238","Bamwe","bmg","Africa",2.16773,19.1644,"Atlantic-Congo","decimal","Enock Appiah Tieku","Bamwe (Libóbi) has a decimal numeral system. Libóbi is a dialect of Bamwe, a Bantu language of Bangi-Ntomba group spoken in North-Western DR of Congo.",0.185185185185185,0.758620689655172,NA
"30","numerals-bana1305-1","Bana, Cameroon","bana1305","Bana","bcw","Africa",10.3535,13.6131,"Afro-Asiatic","","Eugene Chan","Bana numeral system is rather different from other Chadic languages.",0.246913580246914,1,NA
"31","bowernnumerals-Bang","Banggarla","bang1339","Banggarla","bjb","Australia",-33.3036,136.079,"Pama-Nyungan","restricted","Ezequiel Koile","1, 2, 3, 4",0.0493827160493827,0.275862068965517,NA
"32","numerals-bank1256-1","Bankon (Abo), Cameroon","bank1256","Bankon","abb","Africa",4.3702,9.6403,"Atlantic-Congo","decimal","Enock Appiah Tieku","",0.234567901234568,1,NA
"33","numerals-bare1279-1","Barein, Chad","bare1279","Barain","bva","Africa",10.970124,17.911727,"Afro-Asiatic","","Eugene Chan","The above data were taken from the dialect called Jalkiya. Recorded in March 2010 in Mongo, Chad by Joseph Lovestrand SIL Chad & FAPLG (Fédération des Associations pour la Promotion de Langues du Guéra). Baraïn (or Barein, [bva]) is a language spoken by several thousand people (4,300 according to a 1993 census) in the Guera region in the center of Chad. The Baraïn are located in the southern part of the Guera near the town of Melfi and south and west of the town (département de Bahr Signaka, sous-préfecture de Melfi). There are approximately 30 Baraïn villages in the region. Neighboring languages include the Saba to the north, the Bolgo to the east and the Sokoro to the west. The language is classified in the Afro-Asiatic family as an East-Chadic language. It's sub-group includes Sokoro, Saba and Tamki and is called B3 or the Sokoro group. The digits 6-9 are transcribed phonetically as one word although they are more than likely a compound of the word for 5 (thought it drops its [w]) then the coordinate /iŋ/ which totally assimilates to the following consonant. The variation in the second vowel is consistent with some type of vowel harmony seen in other environments. The words originally given for 20 & 30 were later identified by the speakers as Bagirmi (a nearby language). The words for 100 and 1000 appear to have come from Hausa. The morpheme [ke] seen in numbers 11-19 was used in one other place as an adverb with the meaning of “more” or “still” (French: encore). The morpheme [buɟa] is a homophone of if not the same as the word for “mouth”. The traditional words for 20 and 30 add the plural suffix /-ja/ (or /-ija/) to the word for 10.",0.259259259259259,1,NA
"34","numerals-bari1284-1","Bari, Sudan, Uganda","bari1284","Bari","bfa","Africa",4.19522,31.0723,"Nilotic","decimal","Eugene Chan","Bari has a decimal system of counting with an original five-base substructure. They borrow Swahili /Arabic numbers for 'hundred' and 'thousand'.",0.246913580246914,1,NA
"35","numerals-baro1252-1","Barombi, Cameroon","baro1252","Barombi","bbi","Africa",4.64584,9.25261,"Atlantic-Congo","decimal","Enock Appiah Tieku","Barombi has a decimal system similar to that of Bakoko.",0.246913580246914,1,NA
"36","numerals-basa1284-1","Bassa, Cameroon","basa1284","Basa (Cameroon)","bas","Africa",3.80765,10.4213,"Atlantic-Congo","decimal","Enock Appiah Tieku","",0.246913580246914,1,NA
"37","numerals-bask1236-1","Basketo, Ethiopia","bask1236","Basketo","bst","Africa",6.45774,36.5763,"Ta-Ne-Omotic","decimal","Eugene Chan","Basketo has a decimal system. The numbers between 10 and 19 consist of tɑ́ɓɓɑ ́‘-teen’ (= the modifying form of tɑ́ɓɓɑ ’10′) and the numerals given above. The numeral ‘twenty’ cannot be derived from ‘two’: 20: lamtam (LH) All other tens, however, consist of a unit numeral as multiplier and tabb’a ‘ten, -ty’, e.g. 30: haizzi (LH) tɑɓɓɑ (HH), 40: oiddi (LH) tɑɓɓɑ (HH) … 90: saakali (LLH) tɑɓɓɑ (HH) ~ saakili (LLH) tɑɓɓɑ (HH) The highest Baskeet numbers are: 100: ts’eeta (HL) or gabba (HL)* 1000: mukila (HLL) ~ mukula (HLL) By experience, the higher numbers (i.e. numbers starting from 30) are generally expressed in Amharic, even by otherwise monolingual Basketo speakers. For price negotiations at the market, it is thus sufficient to know the Basketo numbers up to 20 and then to continue in Amharic. Note on some orthographic conventions: ’ = [ʔ], z/zz = [z/dz], sh/ssh = [ʃ/ʃ:], b’/bb’ = [ɓ/ɓ:], indicates a germinate bilabial implosive, all vowel-initial words start in fact with a glottal stop [Ɂ]. The tilde ~ introduces pronunciation variants. * The first term is possibly of Gofa origin.",0.246913580246914,1,NA
"38","numerals-bata1285-1","Batanga, Cameroon, Equatorial Guinea","bata1285","Batanga","bnm","Africa",1.397041,9.51011,"Atlantic-Congo","decimal","Enock Appiah Tieku","",0.246913580246914,1,NA
"39","numerals-baya1259-1","Dusun Malang (Bayan), Indonesia","baya1259","Bayan","","Papunesia",-0.85277,115.392,"Austronesian","decimal","Eugene Chan","Dusun Malang is a Barito language, classified under Austronesian, Malayo-Polynesian, Greater Barito, East, Central-South, South (Lewis, Simons, Fennig 2015). The total population is 4,500 people (Lewis, Simons, Fennig 2015). It is spoken in the Central Kalimantan Province, North Barito regency, Indonesia. Villages that speak DM (Dunsun Malang), ordered from Muara Teweh, the capital of the regency, up northward or upstreamward of Barito river, are Teluk Mayang, Ipu, Lahei, Luwe, Nihan, Paparpunjung, Teluk Melawai, Benao (Benoa), Karamuan. A minor lexical difference exists between Ipu and Teluk Mayang with the rest of the villages, e.g. leweu’ (Ipu) vs. rabaru’ (Karamuan) ‘lake’, rarap (Ipu) vs. kepek (Karamuan) ‘fan’. DM has a lexical similarity of 90% with Dusun Bayan (Lewis, Simons, Fennig 2015; henceforth called DB). Both variants are mutually intelligible, with some minor lexical differences that can be understood contextually by the speakers. Dusun Malang has a decimal system similar to that of Ma'anyan language. There are some differences for numbers 1, 2 and 9 in Dusun Bayan. Other higher numbersː 10,000ː puluʔ ribu (DBː sepuluʔ ribu), 1000,000ː eray peloŋ, (DBː eray jutaʔ) Note that the traditional symbol 'j' used in Indonesian linguistics has been written as IPA symbol [d͡ʒ'] here, the [e] is a mid front.",0.259259259259259,1,NA
"40","numerals-bazi1237-1","Bazigar, India","bazi1237","Bazigar","bfr","Eurasia",25.2977,77.2213,"Unclassifiable","","Eugene Chan","Bazigar is spoken in Maharastra State and Madhya State. The Bazigar people have borrowed Indo-Aryan numerals with phonological adaptation now.",0.259259259259259,1,NA
"41","numerals-beel1236-1","Bele, Nigeria","beel1236","Beele","bxq","Africa",10.1609,10.4204,"Afro-Asiatic","","Eugene Chan","Bele numeral system might be very similar to Bole numeral system. There are some missing terms on the above chart.",0.135802469135802,0.689655172413793,NA
"42","numerals-beem1239-1","Beembe, Congo","beem1239","Beembe","beq","Africa",-3.95895,14.1,"Atlantic-Congo","decimal","Enock Appiah Tieku","",0.246913580246914,1,NA
"43","numerals-beja1238-1","Beja (Bedawi), Eritrea, Sudan","beja1238","Beja","bej","Africa",17.2436,36.6666,"Afro-Asiatic","quinary","Eugene Chan","The numeral system of Beja is original based on the unit of five. The word for 'five' also means 'hand. The number 'thousand ' is borrowed from Arabic.",0.246913580246914,1,NA
"44","numerals-benc1235-1","Gimira (Bench), Ethiopia","benc1235","Bench","bcq","Africa",7.04682,35.7673,"Ta-Ne-Omotic","decimal","Eugene Chan","Gimira has a decimal numeral system. There are five level tones in this language; tone mark 1 is the lowest, 2-3 is a glide.",0.246913580246914,1,NA
"45","numerals-bert1248-1","Berta, Ethiopia, Sudan","bert1248","Berta","wti","Africa",10.6474,34.7042,"Berta","quinary","Eugene Chan","Berta has an original quinary, vigesimal numeral system. However, the Berta numeral system has been nearly replaced by Arabic numerals now, only the traditional numerals 1 to 2 preserved. The above data is from Western Isogloss of Berta spoken in Ethiopia and Sudan. Note that the Arabic loanwords are from the Arabic dialect of Asosa area ( 11 up to 50 in the first set ) and the set of traditional numerals from 1, to 5, 7, 8 and 9 recorded by Amy Krell (2011) for Western isogloss in Sudan which called 'Baruun be Magtole'ː 1.dokúnu, 2, haláŋonó, 3. zɛ́tkunú, 4. ʃaːgùm, 5. aʃin, 7. aʃinhintɔwluholoŋono, 8. aʃínɪntolozɪtkùnu, 9. áʃɪnhɪndoloʃogam, and the Eastern Isogloss recorded by Bender (1989 ) in Jebel Ura areː 1. muŋkʼú/ mənnəkʼu, 2. mohɔ́ɔlaŋ, 3. múuθe /mɔ́ɔθe, 4. mənəmu, 5. mə́kʼuuʃó.",0.246913580246914,1,NA
"46","numerals-bete1261-1","Bete, Nigeria","bete1261","Bete (Yukubenic)","byf","Africa",7.02128,9.74302,"Atlantic-Congo","quinary","Enock Appiah Tieku","numerals end at 10; Bete number system is based on five, the numbers 6-9 are composed of 5+1, 2, 3, 4. Bete is an endangered language, higher numerals after ten needed.",0.0679012345679012,0.379310344827586,NA
"47","numerals-beti1248-1","Beti (Éotile), Côte d'Ivoire","beti1248","Beti (Côte d'Ivoire)","eot","Africa",5.26495,-3.28627,"Atlantic-Congo","vigesimal","Eugene Chan","Beti or Éotile has a traditional vigesimal system. There are some missing terms. Need to checked with new data in IPA transcription with tone marks.",0.0864197530864197,0.448275862068966,NA
"48","numerals-bidi1241-1","Bidiya (Bidiyo), Chad","bidi1241","Bidiyo","bid","Africa",11.9204,18.8065,"Afro-Asiatic","","Eugene Chan","Bidiya or Bidiyo is spoken by around 14.000 people (probably more, as this number is from a 1993 census) in the Guera region of central Chad. The current Ethnologue classification for Bidiya is Chadic, East, B, subbranch B 1.1 (Ethnologue 2009). Most speakers are bilingual in Chadian Arabic at least to a certain extent. There are five different dialects with some phonological and grammatical differences, but the numeral system is the same for all of them. (The basic numeral vocabulary is the same, too, with some differences in pronunciation due to the dialectal differences.). A note on orthography: ŋ and ɗ are used like their IPA counterparts, while ƴ represents the palatal implosive ʄ. ba means ''and''; orror is the plural of orro ''ten''. tayaaka is reminiscent of the feminine form of the adjective toyooko ''big'', although the feminine adjective is usually yaaka. I am not sure about the meaning of tape. ku in tape ku ɗuŋkuleek is a plural relative pronoun, while ɗuŋkuleek is a plural form of a different adjective which also means ''big''. For numbers over 99, many speakers tend to use the Chadian Arabic words instead (e.g. miya instead of orror orro). For talking about money, they use the same system as Chadian Arabic, referring to ''riyal'' instead of Central African Francs. One riyal equals 5 CFA, so that 500 CFA would be called miya (riyal) or orror orro (riyal), for example. 3000 is tape ku ɗuŋkeleek paɗaŋ.",0.246913580246914,1,NA
"49","barlowpacific-bika1251-1","Bikaru [from L. Bragge]","bika1251","Bikaru-Bragge","bic","Papunesia",-4.86,142.945,"Bookkeeping","","","",0.0308641975308642,0.172413793103448,NA
"50","numerals-bili1260-1","Bilin (Bilen), Eritrea","bili1260","Bilin","byn","Africa",15.7833,38.3917,"Afro-Asiatic","decimal","Eugene Chan","Bilin has a decimal system. Thousand is a loan from Amharic.",0.246913580246914,1,NA
"51","numerals-boga1251-1","Boga (Boka), Adamawa, Nigeria","boga1251","Boga","bvw","Africa",10.188,12.936,"Afro-Asiatic","decimal","Eugene Chan","Boga has a decimal system. There are some missing terms. The data need checking with updated one.",0.191358024691358,0.793103448275862,NA
"52","numerals-bogh1241-1","Boghom, Nigeria","bogh1241","Boghom","bux","Africa",9.49679,10.11454,"Afro-Asiatic","decimal","Eugene Chan","Boghom has a decimal system.",0.246913580246914,1,NA
"53","numerals-boko1266-1","Boko, Nigeria, Benin","boko1266","Boko (Benin)","bqc","Africa",10.5189,3.71771,"Mande","vigesimal","Eugene Chan","Boko has a rather peculiar vigesimal system similar to that of Busa. The word 'sàí' in numbers 14, 18, 19, 24, 28, 29 means 'without'. The 'b̩' in 40 is a syllabic with low tone - very unusual, from bàapla 20 x 2, the 'b̩' in 50 is a syllabic with low tone, too.",0.246913580246914,1,NA
"54","numerals-bont1247-1","Central Bontok, Luzon, Philippines","bont1247","Bontok","bnc","Papunesia",17.09386,121.02662,"Austronesian","decimal","Eugene Chan","Central Bontok has a decimal system.",0.246913580246914,1,NA
"55","numerals-boro1277-1","Boro (Shinasha), Ethiopia","boro1277","Boro (Ethiopia)","bwo","Africa",10.6596,35.345,"Ta-Ne-Omotic","","Eugene Chan","Boro basic numerals are similar to Kafe numerals, but tens from 60 onwards are different and are loans from the Oromo language. On Lamberti's dat (taken from Plazikowsky Brauner 1950:70), there were traditional constructions for tens 60, 70, 80 and 90, which were expressed by ' half hundred and ten. twenty, thirty and forty'. The phonetic symbol ' ǰ' as in number 'nine' is equivalent to IPA [dʒ]. The numbers with an asterisk were from Lamberti's source. The hundred 'ɡála' in 200 in Rottland's data seemed to be a typos.",0.240740740740741,1,NA
"56","barlowpacific-bowa1234-3","Usiai","bowa1234","Manus Koro","kxr","Papunesia",-2.03429,147.14267,"Austronesian","decimal","Russell Barlow","",0.179012345679012,0.413793103448276,NA
"57","numerals-budu1265-1","Buduma (Yedina), Chad","budu1265","Buduma","bdm","Africa",13.0692,14.4492,"Afro-Asiatic","decimal","Eugene Chan","Buduma has a decimal system of counting. There are two sets of numbers for 30, 40, 50, 60, 70, 80 and 90ː the first one is from Kanuri and the second form is a multiplicatory combination. The number 'hundred' is a loan from the Kanuri language and 'thousand' from the Hausa language.",0.246913580246914,1,NA
"58","numerals-bura1292-1","Bura (Bura-Pabir), Nigeria","bura1292","Bura-Pabir","bwr","Africa",10.4822,12.3007,"Afro-Asiatic","decimal","Eugene Chan","Bura is an endangered language spoken in the southern part of the present-day Borno State, Nigeria. Bura has a decimal system of counting. The Bura numerals listed above reveal that to form tens the cardinal units are suffixed to the morpheme –kà “ten” and –súr , from twenty up to thirty the cardinal units are suffixed to the morpheme – kùmàrì kà “twenty” while for forty up to ninety the cardinal units are prefixed to the morpheme kùmàri; and from hundred up to a nine hundred the cardinal units are suffixed to the morpheme àrù. From one thousand up to a nine hundred the cardinal units are suffixed to the morpheme dùbù and from one million and above the cardinal units are suffixed to the morpheme mìlìyàn. These two forms that is “dùbù and mìlìyàn” are believed to have been borrowed from the Hausa language. In the same vein, we observed that in the counting system of Bura all the cardinals, with the exception of twenty “súr” and the form for one “pál” which have high tones, all the other cardinal constituents of the language have low tones.",0.246913580246914,1,NA
"59","numerals-bure1242-1","Bure (Bubure), Nigeria","bure1242","Bure","bvh","Africa",10.4603,10.4554,"Afro-Asiatic","","Eugene Chan","Bure is an endangered language, they might use Hausa numerals for twenty, hundred, thousand and other higher numbers now.",0.240740740740741,1,NA
"60","numerals-burj1242-1","Burji, Ethiopia","burj1242","Burji","bji","Africa",4.44624,38.4646,"Afro-Asiatic","decimal","Eugene Chan","Burji has a decimal system of counting.",0.246913580246914,1,NA
"61","numerals-buru1320-1","Burunge, Tanzania","buru1320","Burunge","bds","Africa",-5.21369,35.963,"Afro-Asiatic","decimal","Eugene Chan","Burunge has a decimal system. The numbers 'hundred' and 'thousand' are both loans from Swahili.",0.246913580246914,1,NA
"62","numerals-buss1239-1","Bussa ( Harso-Bobase), Ethiopia","buss1239","Bussa","dox","Africa",5.74987,37.2017,"Afro-Asiatic","","Eugene Chan","The numeral systems of Bussa and Gawwada are very similar.",0.246913580246914,1,NA
"63","numerals-buwa1243-1","Buwal, Cameroon","buwa1243","Buwal","bhs","Africa",10.6151,13.8838,"Afro-Asiatic","decimal","Eugene Chan","Buwal has a decimal system of counting. The old number '100' 'ŋkɑn pɑl' is lesser common than Fulfulde loan 'tɛmɛɾɛ '.",0.246913580246914,1,NA
